Level,Year,#Module,Topic / Activity Focus,Desc.,Teaching strategy,Hours,Theory,Group Therapy/supervision,Breathwork,Seminar,Delivery Format,EAP/EUROTAS Category,Core Teacher,Guest Teacher,Compulsory
L1,1,,L1: SELF DEVELOPMENT,"Learning Outcomes:
- Understand transpersonal psychology theory
- Experience consciousness states personally
- Recognize spiritual vs. pathological
- Facilitate basic group breathwork
- Establish personal practice",,,,,,,,,,,FALSE
L1,1,,ONLINE LESSONS,,,80,,,,,,,,,FALSE
L1,1,1,"Foundations of Transpersonal Psych, History & Consciousness","History and core concepts of transpersonal psychology. Major schools of thought, debates within the field, and positioning transpersonal psychology within contemporary psychology and mental health systems. Introduction to consciousness studies and models of self and identity.","10 h -> thorical methodology overview
10 h -> practical therapy demonstration",20,10,10,,,Weekly Online (2 hrs),Theoretical Study,TBD,TBD,TRUE
L1,1,1.1,Lessons 1.1 - 1.5,"1.1 - Our Hero Journey
1.2 - Transpersonal psychology foundations I
1.3 - Transpersonal psychology foundations II
1.4 - Transpersonal psychology foundations III
1.5 - Transpersonal psychology foundations IV",,,5,5,,,,,,,FALSE
L1,1,1.2,Lessons 1.5 - 1.10,"1.6 - Transpersonal psychology foundations V
1.7 - Transpersonal psychology foundations VI
1.8 - Transpersonal psychology foundations VII
1.9 - The mental healt systems
1.10 - Group essays presentation",,,5,5,,,,,,,FALSE
L1,1,2,Science of Consciousness & Self-Regulation,"Basics of science relevant to therapeutic work: nervous system regulation, stress physiology, emotion regulation, default mode network, and neurobiological correlates of meditation and breathwork. Developing personal self-regulation skills.",,20,10,10,,,Weekly Online (2 hrs),Theoretical Study,TBD,TBD,TRUE
L1,1,2.1,Lessons 2.1 - 2.5,"2.1 - nervous system regulation
2.2 - nervous system regulation II
2.3 - stress physiology
2.4 - stress physiology II
2.5 - emotion regulation
",,,5,5,,,,,,,FALSE
L1,1,2.2,Lessons 2.5 - 2.10,"2.6 - default mode network
2.7 - default mode network II
2.8 - default mode network III 
2.9 - neurobiological correlates of meditation and breathwork
2.10 - neurobiological correlates of meditation and breathwork II ",,,5,5,,,,,,,FALSE
L1,1,3,Non-Ordinary States & Holotropic Breathwork (Foundations),"Holotropic paradigm, set and setting, session structure, contraindications, breather/sitter roles, safety protocols, and experiential introduction to non-ordinary states within an ethical container.",,20,10,10,,,Weekly Online (2 hrs),Theoretical Study,TBD,TBD,TRUE
L1,1,4,"Spiritual Development, Crisis & Integration","Models of spiritual development across cultures. Spiritual emergence vs. psychological crisis. Phenomenology of mystical experiences and dark night processes. Foundations of integration: grounding, meaning-making, embodiment, and psychological containment.",,20,10,10,,,Weekly Online (2 hrs),Theoretical Study,TBD,TBD,TRUE
L1,1,,Ecperiential/Personal/Group Work,,,,,,,,,,,,FALSE
L1,1,1-4,Peer Discussion of lessons and homeworks,,Students will produce a group essay for each module,20,,,,,Monthly Online (2 hrs),Theoretical Study,-,-,FALSE
L1,1,1-4,Holotropic Paradigm & Intro to Breathwork Practice,,Intensive,120,,,,,4 Residentials (Thurs-Sun),Theoretical / Experiential,TBD,TBD,TRUE
L1,1,1-4,Personal Exploration & Foundational Grounding,,,10,,,,,1:1 Sessions,Personal Psychotherapy,External,-,TRUE
L1,1,1-4,"Daily practice (20 mins daily breathwork, meditation, etc.)",,,,,,,,Self Practice,Personal development,External,-,FALSE
L1,1,1-4,Interview both psychological and about knowledge ,,,5,,,,,Examination,EWTT Requirement,TBD,TBD,TRUE
L1.1,1,,Another year of residentials and or 1:1 sessions,,,,,,,,Extra Year,EWTT Requirement,-,-,TRUE
L2,Year 2,5,Clinical Foundations: Theories of Psychotherapy & Transpersonal Integration,"Overview of major psychotherapy models (psychodynamic, attachment-based, humanistic-existential, somatic, trauma-informed). How clinical models conceptualize suffering and change. Integrating clinical theory with transpersonal perspectives.",,20,,,,,Weekly Online (2 hrs),Theoretical Study,TBD,TBD,TRUE
L2,Year 2,6,"Counselling Skills, Therapeutic Relationship & Presence","Core counselling skills: empathic listening, attunement, reflective responding, emotion-focused work, establishing therapeutic alliance, boundaries, and basic assessment. Working with relational dynamics and ethical presence in one-to-one and group contexts.",,20,,,,,Weekly Online (2 hrs),Theoretical Study,TBD,TBD,TRUE
L2,Year 2,7,Facilitation of Non-Ordinary States & Group Process,"Professional facilitation of breathwork and consciousness practices: session design, music sequencing, non-directive, bodywork principles, containment of emotional material, group dynamics, and post-session integration practices.",,20,,,,,Weekly Online (2 hrs),Theoretical Study,TBD,TBD,TRUE
L2,Year 2,8,"Professional Ethics, Boundaries & Continuing Development","Deepening ethical practice for professional transpersonal work. Maintaining clear professional boundaries while facilitating deep consciousness work. Learning when and how to seek supervision and consultation. Establishing Ethical, sustainable professional practices with emphasis on the concept of consent and bodywork.",,20,,,,,Weekly Online (2 hrs),Theoretical Study,TBD,TBD,TRUE
L2,Year 2/3,4-9,Deepening Personal Process & Shadow Work,,,180,,,,,6 Residentials (Thurs-Sun),Theoretical / Experiential,TBD,TBD,TRUE
L2,Year 2/3,4-9,Deepening Personal Process & Shadow Work,,,20,,,,,1:1 Sessions,Personal Psychotherapy,External,-,TRUE
L2,Year 2/3,4-9,Peer Group Meetings & Early Case Discussions and homeworks,,,40,,,,,Bi-Weekly Online (2 hrs),Theoretical Study,-,-,TRUE
L2,Year 2/3,4-9,Transpersonal Counselling Practice (with models/L1 students),,,20,,,,,1:1 Sessions w/ Clients,Practical Training,-,-,TRUE
L2,Year 2/3,4-9,Clinical Supervision for Counselling Practice,,,20,,,,,1:1 or Group Sessions,Supervision,TBD,TBD,TRUE
L2,Year 3,9,"Somatic Awareness, Trauma-Informed Practice & Integration","Nervous system regulation, trauma-aware facilitation, grounding and stabilization skills, working with dissociation and overwhelm, and integration practices that support psychological safety and continuity of change.",,20,,,,,Weekly Online (2 hrs),Theoretical Study,TBD,TBD,TRUE
L2,Year 3,,Final L2 Examination?,,,5,,,,,Examination,EWTT Requirement,TBD,TBD,TRUE
L3,Year 3,10,Advanced Psychotherapeutic Skills & Clinical Process,"Advanced therapeutic skills: deep listening, moment-to-moment process tracking, rupture and repair, transference/countertransference, pacing depth, working with resistance, and maintaining therapeutic alliance in complex clinical work.",,20,,,,,Weekly Online (2 hrs),Theoretical Study,TBD,TBD,TRUE
L3,Year 3,11,Transpersonal Interventions & Tools in Psychotherapy,"Clinical use of transpersonal tools: imaginal work, symbolic dialogue, archetypal processes, ritual elements, therapeutic use of spiritual frameworks, dreamwork, and meaning-oriented interventions. Indications, contraindications, and ethical application in psychotherapy.",,20,,,,,Weekly Online (2 hrs),Theoretical Study,TBD,TBD,TRUE
L3,Year 3,12,Trauma-Informed Transpersonal Psychotherapy,"Advanced work with developmental trauma, attachment injury, dissociation, and shame-based organization. Integrating somatic regulation, parts-based models, and consciousness-oriented interventions within phase-oriented trauma treatment.",,20,,,,,Weekly Online (2 hrs),Theoretical Study,TBD,TBD,TRUE
L3,Year 4,13,"Clinical Assessment, Differential Diagnosis & Treatment Planning","Advanced assessment integrating diagnosis manuals - informed diagnosis with transpersonal perspectives. Differential diagnosis between spiritual emergence, trauma responses, dissociation, and psychiatric pathology. Phase-oriented treatment planning, risk management, and collaboration with mental health professionals",,20,,,,,Weekly Online (2 hrs),Theoretical Study,TBD,TBD,TRUE
L3,Year 4,14,"Consciousness-Based Psychotherapy & Holotropic Breathwork (Advanced Integration)
","Clinical integration of Holotropic Breathwork and non-ordinary state work within longer-term psychotherapy. Indications, contraindications, clinical timing, integration planning, working with grief, existential crisis, identity transformation, and sustaining therapeutic outcomes beyond peak experiences.",,20,,,,,Weekly Online (2 hrs),Theoretical Study,TBD,TBD,TRUE
L3,Year 3/4,10-14,"Hypnotherapy, Trauma Integration & Systemic Work",,,180,,,,,6 Residentials (Thurs-Sun),Theoretical / Experiential,TBD,TBD,TRUE
L3,Year 3/4,10-14,Peer Group Meetings & Advanced Clinical Presentations,,,40,,,,,Bi-Weekly Online (2 hrs),Theoretical Study,-,-,TRUE
L3,Year 3/4,10-14,Advanced Clinical Supervision,,,30,,,,,1:1 or Group Sessions,Supervision,TBD,TBD,TRUE
L3,Year 4,10-14,Final Integration & Identity Transformation,,,20,,,,,1:1 Sessions,Personal Psychotherapy,External,-,TRUE
L3,Year 4,10-14,Advanced Psychotherapy Practice,,,30,,,,,1:1 Sessions w/ Clients,Practical Training,-,-,TRUE
L3,Year 4,15,Placement in a Mental Health Setting (External Internship),,,580,,,,,Clinical Environment,Placement / Internship,External Clinic,-,TRUE
,,,,,,1680,,,,,,,,,